my_predicted_digit   target(correct digit)
1                           9
1                           9
1                           8
1                           9
1                           1
1                           1
1                           1
1                           8
1                           9
1                           9
1                           8
1                           9
1                           9
1                           1
1                           9
1                           1
1                           9
1                           9
1                           8
1                           8
1                           9
1                           9
1                           1
1                           8
1                           8
1                           1
1                           9
1                           8
1                           1
1                           8
1                           1
1                           1
1                           8
1                           8
1                           1
1                           9
1                           8
1                           9
1                           1
1                           9
1                           9
1                           9
1                           9
1                           9
1                           8
1                           8
1                           9
1                           8
1                           1
1                           1
1                           1
1                           1
1                           1
1                           1
1                           8
1                           8
1                           8
1                           8
1                           9
1                           9
1                           8
1                           8
1                           1
1                           9
1                           9
1                           8
1                           8
1                           1
1                           8
1                           8
1                           9
1                           1
1                           8
1                           1
1                           9
1                           9
1                           9
1                           9
1                           9
1                           8
1                           8
1                           1
1                           8
1                           1
1                           9
1                           9
1                           8
1                           8
1                           1
1                           9
1                           9
1                           9
1                           9
1                           8
1                           1
1                           8
1                           8
1                           1
1                           8
1                           8
1                           8
1                           8
1                           9
1                           1
1                           9
1                           8
1                           8
1                           8
1                           1
1                           1
1                           9
1                           8
1                           1
1                           8
1                           8
1                           9
1                           1
1                           8
1                           1
1                           9
1                           1
1                           8
1                           9
1                           1
1                           9
1                           8
1                           9
1                           1
1                           8
1                           9
1                           8
1                           9
1                           1
1                           1
1                           9
1                           8
1                           8
1                           1
1                           9
1                           9
1                           1
1                           9
1                           8
1                           8
1                           8
1                           9
1                           8
1                           9
1                           9
1                           1
1                           9
1                           9
1                           1
1                           8
1                           1
1                           8
1                           8
1                           8
1                           9
1                           9
1                           1
1                           1
1                           1
1                           9
1                           1
1                           8
1                           1
1                           8
1                           8
1                           8
1                           1
1                           9
1                           9
1                           8
1                           8
1                           1
1                           9
1                           8
1                           8
1                           1
1                           1
1                           9
1                           1
1                           1
1                           1
1                           1
1                           1
1                           8
1                           1
1                           8
1                           9
1                           1
1                           8
1                           1
1                           9
1                           9
1                           8
1                           1
1                           1
1                           1
1                           9
1                           9
1                           8
1                           1
1                           1
1                           1
1                           1
1                           1
1                           9
1                           8
1                           1
1                           9
1                           8
1                           1
1                           8
1                           1
1                           9
1                           8
1                           1
1                           9
1                           9
1                           9
1                           1
1                           9
1                           9
1                           8
1                           1
1                           9
1                           9
1                           1
1                           1
1                           8
1                           8
1                           9
1                           9
1                           1
1                           8
1                           8
1                           9
1                           9
1                           1
1                           8
1                           8
1                           1
1                           9
1                           1
1                           8
1                           9
1                           1
1                           1
1                           1
1                           9
1                           9
1                           8
1                           1
1                           8
1                           9
1                           9
1                           1
1                           1
1                           1
1                           8
1                           8
1                           1
1                           1
1                           9
1                           8
1                           8
1                           9
1                           9
1                           1
1                           1
1                           9
1                           8
1                           9
1                           8
1                           9
1                           1
1                           9
1                           1
1                           1
1                           1
1                           1
1                           1
1                           1
1                           1
1                           9
1                           1
1                           9
1                           9
1                           8
1                           1
1                           8
1                           9
1                           8
1                           9
1                           9
1                           9
1                           8
1                           1
1                           8
1                           1
1                           9
1                           9
1                           9
1                           9
1                           9
1                           1
1                           9
1                           9
1                           8
1                           9
1                           9
1                           8
1                           1
1                           9
1                           9
1                           8
1                           1
1                           9
1                           1
1                           8
1                           8
1                           1
1                           9
1                           1
1                           8
1                           9
1                           1
1                           8
1                           9
1                           1
1                           8
1                           8
1                           1
1                           1
1                           9
1                           9
1                           9
1                           8
1                           1
1                           8
1                           1
1                           9
1                           1
1                           1
1                           8
1                           1
1                           9
1                           8
1                           1
1                           8
1                           9
1                           9
1                           8
1                           1
1                           9
1                           8
1                           1
1                           8
